dataset,task,table_group,method_family,teacher_setting,model,seed,score,interpretability,selected_num_cells,selected_num_epics
SKCM,classification,baseline,black_box,,MLP,0,0.8299003322259135,,,
SKCM,classification,baseline,black_box,,RF,0,0.8059800664451827,,,
SKCM,classification,baseline,black_box,,GB,0,0.8544850498338871,,,
SKCM,classification,baseline,black_box,,LRF,0,0.7903654485049834,,,
SKCM,classification,baseline,explainable,,LR,0,0.8790697674418605,,,
SKCM,classification,baseline,explainable,,CART,0,0.7166112956810631,3.3451612903225807,,
SKCM,classification,baseline,explainable,,LRT,0,0.6730897009966778,,,
SKCM,classification,co_supervision,explainable,INT,SynthTree-INT,0,0.829235880398671,15.997709923664122,10.0,
SKCM,classification,co_supervision,explainable,INT,CART-INT,0,0.7372093023255815,3.7793893129770995,10.0,
SKCM,classification,co_supervision,explainable,INT,LRT-INT,0,0.6598006644518272,,10.0,
SKCM,classification,co_supervision,explainable,INT,MLM-EPIC-INT,0,0.8299003322259135,,10.0,6.0
SKCM,classification,co_supervision,explainable,MLP,SynthTree-MLP,0,0.829235880398671,15.997709923664122,10.0,
SKCM,classification,co_supervision,explainable,MLP,CART-MLP,0,0.7372093023255815,3.7793893129770995,10.0,
SKCM,classification,co_supervision,explainable,MLP,LRT-MLP,0,0.5730897009966777,,10.0,
SKCM,classification,co_supervision,explainable,MLP,MLM-EPIC-MLP,0,0.8358803986710964,,10.0,2.0
SKCM,classification,co_supervision,explainable,RF,SynthTree-RF,0,0.8073089700996677,16.301526717557252,10.0,
SKCM,classification,co_supervision,explainable,RF,CART-RF,0,0.6657807308970101,3.969465648854962,10.0,
SKCM,classification,co_supervision,explainable,RF,LRT-RF,0,0.6332225913621263,,10.0,
SKCM,classification,co_supervision,explainable,RF,MLM-EPIC-RF,0,0.8159468438538207,,10.0,3.0
SKCM,classification,co_supervision,explainable,GB,SynthTree-GB,0,0.7162790697674418,15.54847328244275,10.0,
SKCM,classification,co_supervision,explainable,GB,CART-GB,0,0.7219269102990032,3.799236641221374,10.0,
SKCM,classification,co_supervision,explainable,GB,LRT-GB,0,0.621594684385382,,10.0,
SKCM,classification,co_supervision,explainable,GB,MLM-EPIC-GB,0,0.8524916943521594,,10.0,5.0
SKCM,classification,co_supervision,explainable,LRF,SynthTree-LRF,0,0.8451827242524917,15.258024691358026,5.0,
SKCM,classification,co_supervision,explainable,LRF,CART-LRF,0,0.6774086378737542,3.8259541984732826,10.0,
SKCM,classification,co_supervision,explainable,LRF,LRT-LRF,0,0.7109634551495017,,10.0,
SKCM,classification,co_supervision,explainable,LRF,MLM-EPIC-LRF,0,0.7840531561461794,,10.0,4.0
SKCM,classification,baseline,black_box,,MLP,1,0.8855820105820106,,,
SKCM,classification,baseline,black_box,,RF,1,0.843915343915344,,,
SKCM,classification,baseline,black_box,,GB,1,0.9041005291005291,,,
SKCM,classification,baseline,black_box,,LRF,1,0.8832671957671958,,,
SKCM,classification,baseline,explainable,,LR,1,0.9246031746031745,,,
SKCM,classification,baseline,explainable,,CART,1,0.7979497354497355,3.3967741935483873,,
SKCM,classification,baseline,explainable,,LRT,1,0.701388888888889,,,
SKCM,classification,co_supervision,explainable,INT,SynthTree-INT,1,0.8604497354497354,15.673282442748091,10.0,
SKCM,classification,co_supervision,explainable,INT,CART-INT,1,0.8151455026455027,3.4183206106870228,10.0,
SKCM,classification,co_supervision,explainable,INT,LRT-INT,1,0.6798941798941799,,10.0,
SKCM,classification,co_supervision,explainable,INT,MLM-EPIC-INT,1,0.8558201058201058,,10.0,2.0
SKCM,classification,co_supervision,explainable,MLP,SynthTree-MLP,1,0.8703703703703703,15.444656488549619,10.0,
SKCM,classification,co_supervision,explainable,MLP,CART-MLP,1,0.828042328042328,4.805524861878453,15.0,
SKCM,classification,co_supervision,explainable,MLP,LRT-MLP,1,0.5816798941798942,,15.0,
SKCM,classification,co_supervision,explainable,MLP,MLM-EPIC-MLP,1,0.9146825396825397,,15.0,2.0
SKCM,classification,co_supervision,explainable,RF,SynthTree-RF,1,0.8604497354497354,15.673282442748091,10.0,
SKCM,classification,co_supervision,explainable,RF,CART-RF,1,0.8151455026455027,3.4183206106870228,10.0,
SKCM,classification,co_supervision,explainable,RF,LRT-RF,1,0.7060185185185185,,10.0,
SKCM,classification,co_supervision,explainable,RF,MLM-EPIC-RF,1,0.8816137566137566,,10.0,3.0
SKCM,classification,co_supervision,explainable,GB,SynthTree-GB,1,0.8558201058201058,16.261068702290075,10.0,
SKCM,classification,co_supervision,explainable,GB,CART-GB,1,0.8058862433862434,4.458778625954198,10.0,
SKCM,classification,co_supervision,explainable,GB,LRT-GB,1,0.601521164021164,,10.0,
SKCM,classification,co_supervision,explainable,GB,MLM-EPIC-GB,1,0.8412698412698413,,10.0,3.0
SKCM,classification,co_supervision,explainable,LRF,SynthTree-LRF,1,0.8214285714285713,15.552671755725191,10.0,
SKCM,classification,co_supervision,explainable,LRF,CART-LRF,1,0.781415343915344,4.298473282442748,10.0,
SKCM,classification,co_supervision,explainable,LRF,LRT-LRF,1,0.7503306878306879,,10.0,
SKCM,classification,co_supervision,explainable,LRF,MLM-EPIC-LRF,1,0.8928571428571428,,10.0,2.0
SKCM,classification,baseline,black_box,,MLP,2,0.863973063973064,,,
SKCM,classification,baseline,black_box,,RF,2,0.7952861952861953,,,
SKCM,classification,baseline,black_box,,GB,2,0.7912457912457913,,,
