dataset,task,model,score_mean,score_sd,interp_mean,selected_num_cells_mode,selected_num_epics_mode
Abalone,regression,CART-GB,2.445521515418862,0.06660104584112936,9.091691643687806,50,
Abalone,regression,CART-INT,2.3990879996176244,0.04397364761845321,8.974151780362067,50,
Abalone,regression,CART-LRF,2.3943445716150764,0.0770001472267787,8.878815489749432,50,
Abalone,regression,CART-MLP,2.4431486093685417,0.06216751921734287,9.222683131519002,50,
Abalone,regression,CART-RF,2.4203618851459914,0.08787114458046597,8.981009471286416,50,
Abalone,regression,LRT-GB,2.4306119960114487,0.12315127967555722,,50,
Abalone,regression,LRT-INT,2.4404432137326806,0.12989181319629298,,50,
Abalone,regression,LRT-LRF,2.4593005952863267,0.07335971824348972,,50,
Abalone,regression,LRT-MLP,2.47571935029206,0.11931596706330629,,50,
Abalone,regression,LRT-RF,2.4542648166753778,0.10825845555354048,,50,
Abalone,regression,MLM-EPIC-GB,2.4886297955679533,0.10982919518928562,,50,6.0
Abalone,regression,MLM-EPIC-INT,2.462033231388128,0.11380480154759684,,50,6.0
Abalone,regression,MLM-EPIC-LRF,2.5533270149419587,0.17576081762356727,,50,6.0
Abalone,regression,MLM-EPIC-MLP,2.5129496631688344,0.16339519383593748,,50,5.0
Abalone,regression,MLM-EPIC-RF,2.4624989069540946,0.12725251651023703,,50,6.0
Abalone,regression,SynthTree-GB,2.4233601063603807,0.08806862178993678,3.2046876873276586,50,
Abalone,regression,SynthTree-INT,2.3939151350836556,0.09407828107098029,3.123786116772569,50,
Abalone,regression,SynthTree-LRF,2.4135585452629185,0.09169069593471782,3.1173720177436754,50,
Abalone,regression,SynthTree-MLP,2.4249022037855505,0.08018780383767042,3.198837069895696,50,
Abalone,regression,SynthTree-RF,2.4027080622866577,0.09029759657908666,3.094473084762019,50,
