dataset,task,model,score_mean,score_sd,interp_mean,selected_num_cells_mode,selected_num_epics_mode
Servo,regression,CART-GB,0.43629973862779925,0.1243311497711496,6.252132701421801,5,
Servo,regression,CART-INT,0.3986698189938764,0.08967255833167324,5.447709320695102,5,
Servo,regression,CART-LRF,0.36956796280465476,0.122362017919094,6.233702970904462,5,
Servo,regression,CART-MLP,0.5406862428456245,0.16955343905974865,6.97914691943128,5,
Servo,regression,CART-RF,0.4283587248841679,0.11621713947469668,6.805371248025277,5,
Servo,regression,LRT-GB,0.7479672293153501,0.3026543765398717,,5,
Servo,regression,LRT-INT,0.7570285130441987,0.29717197307374515,,5,
Servo,regression,LRT-LRF,0.6384050315324801,0.1154398515108262,,5,
Servo,regression,LRT-MLP,0.8787424158417554,0.23008744689484933,,5,
Servo,regression,LRT-RF,0.8359410089557138,0.2213155829401973,,5,
Servo,regression,MLM-EPIC-GB,1.7656914700403046,0.29108812946381835,,5,2.0
Servo,regression,MLM-EPIC-INT,1.7751916718860319,0.316756339873892,,5,2.0
Servo,regression,MLM-EPIC-LRF,1.8138762952997518,0.31697743637851944,,5,2.0
Servo,regression,MLM-EPIC-MLP,1.8636782993617653,0.2948220108165841,,5,3.0
Servo,regression,MLM-EPIC-RF,1.7559184832642707,0.29709860844719954,,5,3.0
Servo,regression,SynthTree-GB,1.323256319555346,0.33704618074625425,2.712627912586501,5,
Servo,regression,SynthTree-INT,1.3836213821075645,0.20569086873129608,2.627922486262338,5,
Servo,regression,SynthTree-LRF,1.403962415364624,0.20413259285203209,2.402093450959231,5,
Servo,regression,SynthTree-MLP,1.2800113145820258,0.22184583206089356,3.2968404423380724,5,
Servo,regression,SynthTree-RF,1.4073012243712695,0.19676515230884298,2.32622976649112,5,
