dataset,task,table_group,method_family,teacher_setting,model,seed,score,interpretability,selected_num_cells,selected_num_epics
Servo,regression,baseline,black_box,,MLP,0,0.7647866390648819,,,
Servo,regression,baseline,black_box,,RF,0,0.4486880801954448,,,
Servo,regression,baseline,black_box,,GB,0,0.43828113302430133,,,
Servo,regression,baseline,black_box,,LRF,0,0.4449074494291505,,,
Servo,regression,baseline,explainable,,LR,0,1.0527473559922402,,,
Servo,regression,baseline,explainable,,CART,0,0.4097300463050591,6.962406015037594,,
Servo,regression,baseline,explainable,,LRT,0,0.9287305899249397,,,
Servo,regression,co_supervision,explainable,INT,SynthTree-INT,0,1.4109764863203558,2.2630331753554502,5.0,
Servo,regression,co_supervision,explainable,INT,CART-INT,0,0.5194787170335471,6.14218009478673,5.0,
Servo,regression,co_supervision,explainable,INT,LRT-INT,0,0.7633645064793801,,5.0,
Servo,regression,co_supervision,explainable,INT,MLM-EPIC-INT,0,1.834455462617185,,5.0,2.0
Servo,regression,co_supervision,explainable,MLP,SynthTree-MLP,0,1.2429335878846064,3.184834123222749,5.0,
Servo,regression,co_supervision,explainable,MLP,CART-MLP,0,0.6014376980747572,5.243285939968405,5.0,
Servo,regression,co_supervision,explainable,MLP,LRT-MLP,0,1.020734030663351,,5.0,
Servo,regression,co_supervision,explainable,MLP,MLM-EPIC-MLP,0,2.005047175976578,,5.0,2.0
Servo,regression,co_supervision,explainable,RF,SynthTree-RF,0,1.4855454358931828,2.5071090047393367,5.0,
Servo,regression,co_supervision,explainable,RF,CART-RF,0,0.4500680718404249,6.985781990521327,5.0,
Servo,regression,co_supervision,explainable,RF,LRT-RF,0,1.3389031066288544,,5.0,
Servo,regression,co_supervision,explainable,RF,MLM-EPIC-RF,0,1.7943805072815486,,5.0,3.0
Servo,regression,co_supervision,explainable,GB,SynthTree-GB,0,1.3968903841686156,2.2630331753554502,5.0,
Servo,regression,co_supervision,explainable,GB,CART-GB,0,0.5582809648378095,6.769352290679305,5.0,
Servo,regression,co_supervision,explainable,GB,LRT-GB,0,0.8478143144937721,,5.0,
Servo,regression,co_supervision,explainable,GB,MLM-EPIC-GB,0,1.779267362425215,,5.0,2.0
Servo,regression,co_supervision,explainable,LRF,SynthTree-LRF,0,1.4538734417281374,2.646129541864139,5.0,
Servo,regression,co_supervision,explainable,LRF,CART-LRF,0,0.466148855246019,5.949447077409163,5.0,
Servo,regression,co_supervision,explainable,LRF,LRT-LRF,0,0.6584861575652716,,5.0,
Servo,regression,co_supervision,explainable,LRF,MLM-EPIC-LRF,0,1.7586411288104475,,5.0,3.0
Servo,regression,baseline,black_box,,MLP,1,0.5114430945756046,,,
Servo,regression,baseline,black_box,,RF,1,0.3776926056443108,,,
Servo,regression,baseline,black_box,,GB,1,0.43575077198096335,,,
Servo,regression,baseline,black_box,,LRF,1,0.38303973714955614,,,
Servo,regression,baseline,explainable,,LR,1,0.8706402447325347,,,
Servo,regression,baseline,explainable,,CART,1,0.2948061166961475,5.2481203007518795,,
Servo,regression,baseline,explainable,,LRT,1,0.9221257076061498,,,
Servo,regression,co_supervision,explainable,INT,SynthTree-INT,1,1.0660189122042683,2.3072669826224326,5.0,
Servo,regression,co_supervision,explainable,INT,CART-INT,1,0.33016591517764016,4.497630331753554,5.0,
Servo,regression,co_supervision,explainable,INT,LRT-INT,1,0.36915776644820375,,5.0,
Servo,regression,co_supervision,explainable,INT,MLM-EPIC-INT,1,1.282317066748924,,5.0,3.0
Servo,regression,co_supervision,explainable,MLP,SynthTree-MLP,1,0.9667083972737981,3.0845181674565563,5.0,
Servo,regression,co_supervision,explainable,MLP,CART-MLP,1,0.5609160312475197,8.090047393364928,5.0,
Servo,regression,co_supervision,explainable,MLP,LRT-MLP,1,0.742546545598429,,5.0,
Servo,regression,co_supervision,explainable,MLP,MLM-EPIC-MLP,1,1.389756050019328,,5.0,3.0
Servo,regression,co_supervision,explainable,RF,SynthTree-RF,1,1.1091610865656731,1.7385466034755135,5.0,
Servo,regression,co_supervision,explainable,RF,CART-RF,1,0.5494510307854152,5.369668246445498,5.0,
Servo,regression,co_supervision,explainable,RF,LRT-RF,1,1.228918336637623,,5.0,
Servo,regression,co_supervision,explainable,RF,MLM-EPIC-RF,1,1.2907032689485407,,5.0,3.0
Servo,regression,co_supervision,explainable,GB,SynthTree-GB,1,0.7512711868251483,3.4033539276257723,10.0,
