dataset,task,table_group,method_family,teacher_setting,model,seed,score,interpretability,selected_num_cells,selected_num_epics
Abalone,regression,baseline,black_box,,MLP,0,2.1952251442033557,,,
Abalone,regression,baseline,black_box,,RF,0,2.159236702074435,,,
Abalone,regression,baseline,black_box,,GB,0,2.181340248759368,,,
Abalone,regression,baseline,black_box,,LRF,0,2.1522821492061244,,,
Abalone,regression,baseline,explainable,,LR,0,2.237570543199142,,,
Abalone,regression,baseline,explainable,,CART,0,2.3897550685035966,5.598623166716552,,
Abalone,regression,baseline,explainable,,LRT,0,2.438520517205575,,,
Abalone,regression,co_supervision,explainable,INT,SynthTree-INT,0,2.4290391689550965,3.032849778204052,50.0,
Abalone,regression,co_supervision,explainable,INT,CART-INT,0,2.439099735858177,9.09087639371778,50.0,
Abalone,regression,co_supervision,explainable,INT,LRT-INT,0,2.320975360172792,,50.0,
Abalone,regression,co_supervision,explainable,INT,MLM-EPIC-INT,0,2.468162762106376,,50.0,6.0
Abalone,regression,co_supervision,explainable,MLP,SynthTree-MLP,0,2.408248530729377,3.038604483874835,50.0,
Abalone,regression,co_supervision,explainable,MLP,CART-MLP,0,2.534058280763355,9.195779882508093,50.0,
Abalone,regression,co_supervision,explainable,MLP,LRT-MLP,0,2.5241275286384885,,50.0,
Abalone,regression,co_supervision,explainable,MLP,MLM-EPIC-MLP,0,2.528405030097307,,50.0,6.0
Abalone,regression,co_supervision,explainable,RF,SynthTree-RF,0,2.426736036131855,3.051612516484834,50.0,
Abalone,regression,co_supervision,explainable,RF,CART-RF,0,2.4821850231009073,9.105023378491788,50.0,
Abalone,regression,co_supervision,explainable,RF,LRT-RF,0,2.455929207518847,,50.0,
Abalone,regression,co_supervision,explainable,RF,MLM-EPIC-RF,0,2.4937336965111174,,50.0,6.0
Abalone,regression,co_supervision,explainable,GB,SynthTree-GB,0,2.4266768304947286,3.0211605323102746,50.0,
Abalone,regression,co_supervision,explainable,GB,CART-GB,0,2.361109465258855,8.931542980457978,50.0,
Abalone,regression,co_supervision,explainable,GB,LRT-GB,0,2.505429535425244,,50.0,
Abalone,regression,co_supervision,explainable,GB,MLM-EPIC-GB,0,2.5233716930370087,,50.0,6.0
Abalone,regression,co_supervision,explainable,LRF,SynthTree-LRF,0,2.4270362186533636,3.06557966670663,50.0,
Abalone,regression,co_supervision,explainable,LRF,CART-LRF,0,2.486199985429911,8.789473684210526,50.0,
Abalone,regression,co_supervision,explainable,LRF,LRT-LRF,0,2.4224292582568787,,50.0,
Abalone,regression,co_supervision,explainable,LRF,MLM-EPIC-LRF,0,2.662694098047599,,50.0,2.0
Abalone,regression,baseline,black_box,,MLP,1,2.097081152666597,,,
Abalone,regression,baseline,black_box,,RF,1,2.126616352374754,,,
Abalone,regression,baseline,black_box,,GB,1,2.163913420700904,,,
Abalone,regression,baseline,black_box,,LRF,1,2.123417932091874,,,
Abalone,regression,baseline,explainable,,LR,1,2.185578916086313,,,
Abalone,regression,baseline,explainable,,CART,1,2.4608705008144147,5.264591439688716,,
Abalone,regression,baseline,explainable,,LRT,1,2.502188401233398,,,
Abalone,regression,co_supervision,explainable,INT,SynthTree-INT,1,2.30475326873441,3.1035247572233544,50.0,
Abalone,regression,co_supervision,explainable,INT,CART-INT,1,2.325341985862919,8.881668864644528,50.0,
Abalone,regression,co_supervision,explainable,INT,LRT-INT,1,2.398198232243382,,50.0,
Abalone,regression,co_supervision,explainable,INT,MLM-EPIC-INT,1,2.4666838169286716,,50.0,6.0
Abalone,regression,co_supervision,explainable,MLP,SynthTree-MLP,1,2.3593679226229276,3.105982496103585,50.0,
Abalone,regression,co_supervision,explainable,MLP,CART-MLP,1,2.420765734614473,9.096151540582664,50.0,
Abalone,regression,co_supervision,explainable,MLP,LRT-MLP,1,2.4266216398538516,,50.0,
Abalone,regression,co_supervision,explainable,MLP,MLM-EPIC-MLP,1,2.5277591242710375,,50.0,5.0
Abalone,regression,co_supervision,explainable,RF,SynthTree-RF,1,2.3406939395667545,3.029432921712025,50.0,
Abalone,regression,co_supervision,explainable,RF,CART-RF,1,2.394577307802863,8.818846661071815,50.0,
Abalone,regression,co_supervision,explainable,RF,LRT-RF,1,2.502870391796942,,50.0,
Abalone,regression,co_supervision,explainable,RF,MLM-EPIC-RF,1,2.4528168167285544,,50.0,6.0
Abalone,regression,co_supervision,explainable,GB,SynthTree-GB,1,2.3486354692898592,3.4651720417216163,50.0,
Abalone,regression,co_supervision,explainable,GB,CART-GB,1,2.4377167168958134,8.961875074931063,50.0,
Abalone,regression,co_supervision,explainable,GB,LRT-GB,1,2.3240401046269725,,50.0,
Abalone,regression,co_supervision,explainable,GB,MLM-EPIC-GB,1,2.4508480420806613,,50.0,6.0
Abalone,regression,co_supervision,explainable,LRF,SynthTree-LRF,1,2.3120624354998105,3.07049514446709,50.0,
Abalone,regression,co_supervision,explainable,LRF,CART-LRF,1,2.3456290621382023,8.67857571034648,50.0,
Abalone,regression,co_supervision,explainable,LRF,LRT-LRF,1,2.4652965440523085,,50.0,
Abalone,regression,co_supervision,explainable,LRF,MLM-EPIC-LRF,1,2.464987937367577,,50.0,6.0
Abalone,regression,baseline,black_box,,MLP,2,2.317642901249797,,,
Abalone,regression,baseline,black_box,,RF,2,2.301191677098019,,,
Abalone,regression,baseline,black_box,,GB,2,2.2903876310304736,,,
Abalone,regression,baseline,black_box,,LRF,2,2.2980286145717344,,,
Abalone,regression,baseline,explainable,,LR,2,2.3951972257362284,,,
Abalone,regression,baseline,explainable,,CART,2,2.4995741212462694,5.417240347201437,,
Abalone,regression,baseline,explainable,,LRT,2,2.5848539290705124,,,
Abalone,regression,co_supervision,explainable,INT,SynthTree-INT,2,2.526515927030842,3.1832514087039923,50.0,
Abalone,regression,co_supervision,explainable,INT,CART-INT,2,2.422694100352408,9.044598968948568,50.0,
Abalone,regression,co_supervision,explainable,INT,LRT-INT,2,2.647265707060387,,50.0,
Abalone,regression,co_supervision,explainable,INT,MLM-EPIC-INT,2,2.6384323554571982,,50.0,5.0
Abalone,regression,co_supervision,explainable,MLP,SynthTree-MLP,2,2.5621929669487504,3.184150581465052,50.0,
Abalone,regression,co_supervision,explainable,MLP,CART-MLP,2,2.463270964733116,9.501498621268434,50.0,
Abalone,regression,co_supervision,explainable,MLP,LRT-MLP,2,2.651409138377598,,50.0,
Abalone,regression,co_supervision,explainable,MLP,MLM-EPIC-MLP,2,2.765476436713053,,50.0,4.0
Abalone,regression,co_supervision,explainable,RF,SynthTree-RF,2,2.5299514684355406,3.1832514087039923,50.0,
Abalone,regression,co_supervision,explainable,RF,CART-RF,2,2.5293761426613246,9.24325620429205,50.0,
Abalone,regression,co_supervision,explainable,RF,LRT-RF,2,2.608027657593854,,50.0,
Abalone,regression,co_supervision,explainable,RF,MLM-EPIC-RF,2,2.659858677106762,,50.0,5.0
Abalone,regression,co_supervision,explainable,GB,SynthTree-GB,2,2.5668402517386,3.20746912840187,50.0,
Abalone,regression,co_supervision,explainable,GB,CART-GB,2,2.5371351918138125,9.270950725332694,50.0,
Abalone,regression,co_supervision,explainable,GB,LRT-GB,2,2.6012232266868054,,50.0,
Abalone,regression,co_supervision,explainable,GB,MLM-EPIC-GB,2,2.66379989389177,,50.0,6.0
Abalone,regression,co_supervision,explainable,LRF,SynthTree-LRF,2,2.5263945940725887,3.1832514087039923,50.0,
Abalone,regression,co_supervision,explainable,LRF,CART-LRF,2,2.4553889230755357,9.178875434600167,50.0,
Abalone,regression,co_supervision,explainable,LRF,LRT-LRF,2,2.5736665541504844,,50.0,
Abalone,regression,co_supervision,explainable,LRF,MLM-EPIC-LRF,2,2.8083120776929356,,50.0,2.0
Abalone,regression,baseline,black_box,,MLP,3,2.0936062673189957,,,
Abalone,regression,baseline,black_box,,RF,3,2.145882868874988,,,
Abalone,regression,baseline,black_box,,GB,3,2.1382906644405204,,,
Abalone,regression,baseline,black_box,,LRF,3,2.1362326960288383,,,
Abalone,regression,baseline,explainable,,LR,3,2.1776398426454446,,,
Abalone,regression,baseline,explainable,,CART,3,2.3057222432254525,5.263693504938641,,
Abalone,regression,baseline,explainable,,LRT,3,2.4745639552650447,,,
Abalone,regression,co_supervision,explainable,INT,SynthTree-INT,3,2.407313425590889,3.38652439755425,50.0,
Abalone,regression,co_supervision,explainable,INT,CART-INT,3,2.3975651621895606,8.800503536746193,50.0,
Abalone,regression,co_supervision,explainable,INT,LRT-INT,3,2.4796837795074143,,50.0,
Abalone,regression,co_supervision,explainable,INT,MLM-EPIC-INT,3,2.4078913446905377,,50.0,5.0
Abalone,regression,co_supervision,explainable,MLP,SynthTree-MLP,3,2.377585485291613,3.389461695240379,50.0,
Abalone,regression,co_supervision,explainable,MLP,CART-MLP,3,2.3644773080042394,8.815729528833474,50.0,
Abalone,regression,co_supervision,explainable,MLP,LRT-MLP,3,2.4430453868857867,,50.0,
Abalone,regression,co_supervision,explainable,MLP,MLM-EPIC-MLP,3,2.407459660328258,,50.0,5.0
Abalone,regression,co_supervision,explainable,RF,SynthTree-RF,3,2.421393000329979,3.222095671981777,50.0,
Abalone,regression,co_supervision,explainable,RF,CART-RF,3,2.303146892421505,8.664548615273947,50.0,
Abalone,regression,co_supervision,explainable,RF,LRT-RF,3,2.3575680126485796,,50.0,
Abalone,regression,co_supervision,explainable,RF,MLM-EPIC-RF,3,2.3729329130402164,,50.0,6.0
Abalone,regression,co_supervision,explainable,GB,SynthTree-GB,3,2.4208336982048277,3.263697398393478,50.0,
Abalone,regression,co_supervision,explainable,GB,CART-GB,3,2.412935105840124,8.985133677017144,50.0,
Abalone,regression,co_supervision,explainable,GB,LRT-GB,3,2.410987723610017,,50.0,
Abalone,regression,co_supervision,explainable,GB,MLM-EPIC-GB,3,2.394936613635534,,50.0,6.0
Abalone,regression,co_supervision,explainable,LRF,SynthTree-LRF,3,2.4722331268800826,3.355233185469368,50.0,
Abalone,regression,co_supervision,explainable,LRF,CART-LRF,3,2.385564568794953,8.87015945330296,50.0,
Abalone,regression,co_supervision,explainable,LRF,LRT-LRF,3,2.4597822913520506,,50.0,
Abalone,regression,co_supervision,explainable,LRF,MLM-EPIC-LRF,3,2.4339419656460914,,50.0,6.0
Abalone,regression,baseline,black_box,,MLP,4,2.0621419644533234,,,
Abalone,regression,baseline,black_box,,RF,4,2.083434456989516,,,
Abalone,regression,baseline,black_box,,GB,4,2.113068747257276,,,
Abalone,regression,baseline,black_box,,LRF,4,2.0814413008648303,,,
Abalone,regression,baseline,explainable,,LR,4,2.1593982657490334,,,
Abalone,regression,baseline,explainable,,CART,4,2.232410353383946,5.3229571984435795,,
Abalone,regression,baseline,explainable,,LRT,4,2.3903694424664987,,,
Abalone,regression,co_supervision,explainable,INT,SynthTree-INT,4,2.301953885107041,2.912780242177197,50.0,
Abalone,regression,co_supervision,explainable,INT,CART-INT,4,2.410739013825056,9.053111137753268,50.0,
Abalone,regression,co_supervision,explainable,INT,LRT-INT,4,2.3560929896794267,,50.0,
Abalone,regression,co_supervision,explainable,INT,MLM-EPIC-INT,4,2.328995877757857,,50.0,6.0
Abalone,regression,co_supervision,explainable,MLP,SynthTree-MLP,4,2.417116113335085,3.275986092794629,50.0,
Abalone,regression,co_supervision,explainable,MLP,CART-MLP,4,2.4331707587275253,9.50425608440235,50.0,
Abalone,regression,co_supervision,explainable,MLP,LRT-MLP,4,2.3333930577045745,,50.0,
Abalone,regression,co_supervision,explainable,MLP,MLM-EPIC-MLP,4,2.335648064434517,,50.0,6.0
Abalone,regression,co_supervision,explainable,RF,SynthTree-RF,4,2.2947658669691595,2.9859729049274666,50.0,
Abalone,regression,co_supervision,explainable,RF,CART-RF,4,2.392524059743358,9.073372497302481,50.0,
Abalone,regression,co_supervision,explainable,RF,LRT-RF,4,2.346928813818666,,50.0,
Abalone,regression,co_supervision,explainable,RF,MLM-EPIC-RF,4,2.333152431383822,,50.0,6.0
Abalone,regression,co_supervision,explainable,GB,SynthTree-GB,4,2.3538142820738877,3.065939335811054,50.0,
Abalone,regression,co_supervision,explainable,GB,CART-GB,4,2.478711097285706,9.308955760700156,50.0,
Abalone,regression,co_supervision,explainable,GB,LRT-GB,4,2.3113793897082044,,50.0,
Abalone,regression,co_supervision,explainable,GB,MLM-EPIC-GB,4,2.410192735194793,,50.0,6.0
Abalone,regression,co_supervision,explainable,LRF,SynthTree-LRF,4,2.330066351208746,2.9123006833712983,50.0,
Abalone,regression,co_supervision,explainable,LRF,CART-LRF,4,2.2989403186367796,8.876993166287017,50.0,
Abalone,regression,co_supervision,explainable,LRF,LRT-LRF,4,2.375328328619912,,50.0,
Abalone,regression,co_supervision,explainable,LRF,MLM-EPIC-LRF,4,2.3966989959555893,,50.0,6.0
