dataset,task,table_group,method_family,teacher_setting,model,seed,score,interpretability,selected_num_cells,selected_num_epics
Servo,regression,baseline,black_box,,MLP,0,0.7647866390648819,,,
Servo,regression,baseline,black_box,,RF,0,0.4486880801954448,,,
Servo,regression,baseline,black_box,,GB,0,0.43828113302430133,,,
Servo,regression,baseline,black_box,,LRF,0,0.45184968703598494,,,
Servo,regression,baseline,explainable,,LR,0,1.0527473559922402,,,
Servo,regression,baseline,explainable,,CART,0,0.4097300463050591,6.962406015037594,,
Servo,regression,baseline,explainable,,LRT,0,1.4950131487159617,,,
Servo,regression,co_supervision,explainable,INT,SynthTree-INT,0,0.779522341108504,3.1633196225502056,40.0,
Servo,regression,co_supervision,explainable,INT,CART-INT,0,0.4128078652173595,8.194047907089281,40.0,
Servo,regression,co_supervision,explainable,INT,LRT-INT,0,0.5986937951941326,,40.0,
Servo,regression,co_supervision,explainable,INT,MLM-EPIC-INT,0,2.005352978355805,,40.0,2.0
Servo,regression,co_supervision,explainable,MLP,SynthTree-MLP,0,0.7369547408347712,3.666344060004839,40.0,
Servo,regression,co_supervision,explainable,MLP,CART-MLP,0,0.6397784074163302,9.588434551173481,40.0,
Servo,regression,co_supervision,explainable,MLP,LRT-MLP,0,0.5975626845189874,,40.0,
Servo,regression,co_supervision,explainable,MLP,MLM-EPIC-MLP,0,2.0477998188418796,,40.0,3.0
Servo,regression,co_supervision,explainable,RF,SynthTree-RF,0,0.8479527567559502,3.125816598112751,40.0,
Servo,regression,co_supervision,explainable,RF,CART-RF,0,0.3973161247208284,7.450762158238567,40.0,
Servo,regression,co_supervision,explainable,RF,LRT-RF,0,0.5943741818199341,,40.0,
Servo,regression,co_supervision,explainable,RF,MLM-EPIC-RF,0,2.1758912565400785,,40.0,4.0
Servo,regression,co_supervision,explainable,GB,SynthTree-GB,0,0.7901060202008436,3.1927171546092428,40.0,
Servo,regression,co_supervision,explainable,GB,CART-GB,0,0.5066490925289461,8.819501572707477,40.0,
Servo,regression,co_supervision,explainable,GB,LRT-GB,0,0.48231902698968365,,40.0,
Servo,regression,co_supervision,explainable,GB,MLM-EPIC-GB,0,2.028538408234624,,40.0,3.0
Servo,regression,co_supervision,explainable,LRF,SynthTree-LRF,0,0.8084247798121361,3.046334381804984,40.0,
Servo,regression,co_supervision,explainable,LRF,CART-LRF,0,0.42068138527740284,9.761190418582144,40.0,
Servo,regression,co_supervision,explainable,LRF,LRT-LRF,0,0.7142168821288315,,40.0,
Servo,regression,co_supervision,explainable,LRF,MLM-EPIC-LRF,0,1.9083410751308136,,40.0,4.0
Servo,regression,baseline,black_box,,MLP,1,0.5114430945756046,,,
Servo,regression,baseline,black_box,,RF,1,0.3776926056443108,,,
Servo,regression,baseline,black_box,,GB,1,0.43575077198096335,,,
Servo,regression,baseline,black_box,,LRF,1,0.3899233724085736,,,
Servo,regression,baseline,explainable,,LR,1,0.8706402447325347,,,
Servo,regression,baseline,explainable,,CART,1,0.2948061166961475,5.2481203007518795,,
Servo,regression,baseline,explainable,,LRT,1,0.9972600902788803,,,
Servo,regression,co_supervision,explainable,INT,SynthTree-INT,1,0.5316281230804891,3.472780062908299,40.0,
Servo,regression,co_supervision,explainable,INT,CART-INT,1,0.3730336046113049,8.135489920300047,20.0,
Servo,regression,co_supervision,explainable,INT,LRT-INT,1,0.30807333857544333,,20.0,
Servo,regression,co_supervision,explainable,INT,MLM-EPIC-INT,1,1.3574447342326719,,20.0,2.0
Servo,regression,co_supervision,explainable,MLP,SynthTree-MLP,1,0.5101153286207376,3.7615533510766994,40.0,
Servo,regression,co_supervision,explainable,MLP,CART-MLP,1,0.4619640994029555,9.777308954524145,20.0,
Servo,regression,co_supervision,explainable,MLP,LRT-MLP,1,0.6125661337494307,,20.0,
Servo,regression,co_supervision,explainable,MLP,MLM-EPIC-MLP,1,1.595557346716784,,20.0,6.0
Servo,regression,co_supervision,explainable,RF,SynthTree-RF,1,0.5124789565073138,3.4649165255262524,40.0,
Servo,regression,co_supervision,explainable,RF,CART-RF,1,0.35048750967674336,5.2217533989685885,20.0,
Servo,regression,co_supervision,explainable,RF,LRT-RF,1,0.9315756763030807,,20.0,
Servo,regression,co_supervision,explainable,RF,MLM-EPIC-RF,1,1.45074997370345,,20.0,2.0
