feature,stfi_raw,stfi_norm,perm_raw,perm_norm,shap_raw,shap_norm,stfi_rank,perm_rank,shap_rank,seed
AGE,0.5098951698532894,0.5098951698532895,-0.009125138427463967,0.0,0.01233606982077171,0.026587719517470253,1,19,12,0
AJCC_NODES_PATHOLOGIC_PN,0.00464265655220342,0.004642656552203421,-8.8593576965638e-05,0.0,0.012529708661036568,0.027005065985790437,23,19,11,0
AJCC_STAGING_EDITION,0.008748448853155807,0.008748448853155809,-0.0006312292358803669,0.0,0.04048141202674839,0.08724889241677479,17,19,4,0
DAYS_TO_COLLECTION,0.026119816958159917,0.02611981695815992,0.0014950166112957148,0.007634882931795207,0.047321292844877315,0.10199077012722052,7,15,3,0
FORM_COMPLETION_DATE,0.00374388994863398,0.0037438899486339806,0.00538205980066447,0.02748557855446222,0.015127361951678128,0.03260374353047467,25,8,10,0
FRACTION_GENOME_ALTERED,0.0018547060470212008,0.001854706047021201,0.014363233665559276,0.07335143083361614,0.027770131458786863,0.05985248761694455,29,3,6,0
ICD_10,0.0023473056530072473,0.0023473056530072477,0.002303433001107443,0.011763375183802837,0.02095884343402785,0.04517223546321057,27,11,8,0
ICD_O_3_HISTOLOGY,0.001258011503963514,0.0012580115039635142,0.00035437430786269266,0.0018097500282774064,0.0018329380691197493,0.003950499955228104,30,18,25,0
ICD_O_3_SITE,0.010681481630682901,0.010681481630682903,0.008516057585825047,0.04349055536703996,0.017936804159685803,0.03865888609308198,15,4,9,0
INITIAL_PATHOLOGIC_DX_YEAR,0.0454392166375663,0.04543921663756631,0.006932447397563701,0.03540323492817562,0.05511922704483116,0.11879752384508264,4,6,2,0
OS_MONTHS,0.0698650630592163,0.06986506305921632,0.11364341085271316,0.5803642121931899,0.08466672037870489,0.1824807290003054,3,1,1,0
SAMPLE_INITIAL_WEIGHT,0.00329792605879345,0.0032979260587934506,-0.002547065337762988,0.0,0.010467844006193905,0.02256116449022376,26,19,14,0
