dataset,model,mean,sd,interp
SKCM,CART-GB,0.7705003556298328,0.03601144090792172,4.726741174982076
SKCM,CART-INT,0.793405943916658,0.05880386570268633,3.9998920332335204
SKCM,CART-LRF,0.7763203778458845,0.06564670353604071,4.356045717177681
SKCM,CART-MLP,0.7976014706121847,0.05824626074564391,4.583078739825398
SKCM,CART-RF,0.7503401346562416,0.06794999962338061,3.396475970157103
SKCM,LRT-GB,0.6929489866473854,0.08456244210416744,
SKCM,LRT-INT,0.705688281251666,0.04616249217829253,
SKCM,LRT-LRF,0.7531496498087654,0.0480453694884106,
SKCM,LRT-MLP,0.6548046817217794,0.08069472853289936,
SKCM,LRT-RF,0.7085765240453592,0.050391624326179274,
SKCM,MLM-EPIC-GB,0.8561740461682128,0.020516817440210666,
SKCM,MLM-EPIC-INT,0.8523919136095384,0.02492361885733188,
SKCM,MLM-EPIC-LRF,0.8367246458965951,0.06428327772522595,
SKCM,MLM-EPIC-MLP,0.8682638206505555,0.05203592173140589,
SKCM,MLM-EPIC-RF,0.8461099567916867,0.05705385940400356,
SKCM,SynthTree-GB,0.8206169138501235,0.07262406591819684,15.885398171708605
SKCM,SynthTree-INT,0.8550007394044933,0.042589178466029304,15.685881658302055
SKCM,SynthTree-LRF,0.8417764514971775,0.015625644530336213,15.531114880784093
SKCM,SynthTree-MLP,0.8652003546041083,0.030959194406113555,15.66148243431319
SKCM,SynthTree-RF,0.8461749037455851,0.04377091055755729,15.875460371312789
