dataset,model,mean,sd,interp
Servo,CART-GB,0.43629973862779925,0.1243311497711496,6.252132701421801
Servo,CART-INT,0.3986698189938764,0.08967255833167324,5.447709320695102
Servo,CART-LRF,0.4244592686841255,0.15823365882401536,5.640845021326317
Servo,CART-MLP,0.5406862428456245,0.16955343905974865,6.97914691943128
Servo,CART-RF,0.4283587248841679,0.11621713947469668,6.805371248025277
Servo,LRT-GB,0.9386270853285543,0.3439048492666131,
Servo,LRT-INT,0.7711666786875311,0.26984485219433685,
Servo,LRT-LRF,0.7388616705772628,0.23903493784421206,
Servo,LRT-MLP,0.9888345544371141,0.36215953365267967,
Servo,LRT-RF,0.9899257971215658,0.3866018292505064,
Servo,MLM-EPIC-GB,1.7656914700403046,0.29108812946381835,
Servo,MLM-EPIC-INT,1.7714672472349704,0.31332701533004226,
Servo,MLM-EPIC-LRF,1.7445402045965828,0.24858960847581107,
Servo,MLM-EPIC-MLP,1.8636782993617653,0.2948220108165841,
Servo,MLM-EPIC-RF,1.7559184832642707,0.29709860844719954,
Servo,SynthTree-GB,1.323256319555346,0.33704618074625414,2.712627912586501
Servo,SynthTree-INT,1.3878447132502767,0.20854829959548785,2.678471225855388
Servo,SynthTree-LRF,1.3969523186504431,0.19247770099653724,2.487215224996479
Servo,SynthTree-MLP,1.280011314582026,0.22184583206089364,3.2968404423380724
Servo,SynthTree-RF,1.4102331425157018,0.19805445751541284,2.3308111251009147
